AL,2014,1734,1922,2586,922,51,136
AK,2014,264,257,340,18,28,28
AZ,2014,2423,2571,4226,215,189,1580
AR,2014,1058,1131,1763,307,54,136
CA,2014,14156,14874,21429,1846,4409,10023
CO,2014,1979,2030,3637,147,112,701
CT,2014,1333,1450,2344,291,101,319
DE,2014,337,375,510,147,32,56
FL,2014,7335,8079,12507,2331,374,3530
GA,2014,3458,3848,4569,2199,388,508
HI,2014,502,533,228,19,482,64
ID,2014,585,597,1110,10,20,153
IL,2014,4714,5042,7648,1348,616,1316
IN,2014,2357,2556,4365,395,95,314
IA,2014,1154,1182,2171,69,51,81
KS,2014,1037,1088,1853,129,76,216
KY,2014,1597,1725,2943,271,53,113
LA,2014,1645,1805,2250,1042,82,165
ME,2014,512,549,1009,9,11,10
MD,2014,2135,2407,2752,1325,343,332
MA,2014,2504,2775,4441,408,325,462
MI,2014,3615,3961,6164,979,277,395
MN,2014,2007,2097,3670,196,112,183
MS,2014,1028,1154,1352,769,27,60
MO,2014,2172,2333,3861,485,76,88
MT,2014,392,396,728,3,5,16
NE,2014,688,712,1295,55,22,135
NV,2014,1055,1073,1571,193,181,527
NH,2014,512,535,996,15,23,23
NJ,2014,3277,3548,5146,953,641,1229
NM,2014,739,797,1234,40,33,601
NY,2014,7294,7980,11147,2581,1206,2394
NC,2014,3510,3902,5415,1572,190,602
ND,2014,290,276,516,10,10,19
OH,2014,4197,4575,7404,1024,231,192
OK,2014,1394,1457,2262,192,65,267
OR,2014,1512,1566,2768,56,123,322
PA,2014,4779,5145,8451,1001,295,689
RI,2014,387,432,717,55,23,75
SC,2014,1730,1937,2622,965,50,171
SD,2014,308,317,562,12,4,12
TN,2014,2366,2609,4014,793,84,202
TX,2014,9412,9941,15676,2327,853,6762
UT,2014,1011,1016,1919,26,37,222
VT,2014,240,253,475,4,7,4
VA,2014,2975,3246,4145,1188,438,389
WA,2014,2616,2717,4238,195,451,635
WV,2014,705,744,1376,41,10,18
WI,2014,2136,2220,3933,230,106,248
WY,2014,223,217,407,11,3,29
